device_id,timestamp,accuracy,heading_d,latitude,longitude
Lema,2000-01-01T08:27:49Z,5,78,-24.216522,30.948853
Lema,2000-01-01T08:27:53Z,4,77,-24.21646,30.949177
Lema,2000-01-01T08:27:57Z,4,76,-24.216389,30.949509
Lema,2000-01-01T08:28:01Z,4,75,-24.216314,30.949833
Lema,2000-01-01T08:28:04Z,4,74,-24.21626,30.950071
Lema,2000-01-01T08:28:07Z,6,76,-24.216206,30.950308
Lema,2000-01-01T08:28:10Z,5,75,-24.21615,30.950537
Lema,2000-01-01T08:28:14Z,4,75,-24.216072,30.95086
Lema,2000-01-01T08:28:18Z,5,73,-24.215996,30.951172
Lema,2000-01-01T08:28:21Z,5,76,-24.215937,30.95141
Lema,2000-01-01T08:28:24Z,4,78,-24.21588,30.951666
Lema,2000-01-01T08:28:28Z,4,76,-24.215816,30.951977
Lema,2000-01-01T08:28:31Z,5,77,-24.21576,30.952215
Lema,2000-01-01T08:28:35Z,6,74,-24.215685,30.952526
Lema,2000-01-01T08:28:39Z,5,75,-24.215618,30.95284
Lema,2000-01-01T08:28:42Z,5,75,-24.215565,30.953075
Lema,2000-01-01T08:28:46Z,5,75,-24.215492,30.953371
Lema,2000-01-01T08:28:49Z,5,75,-24.215437,30.953602
Lema,2000-01-01T08:28:52Z,6,74,-24.215384,30.953815
Lema,2000-01-01T08:28:56Z,6,69.1,-24.215338,30.954023
Lema,2000-01-01T08:28:59Z,6,24,-24.215263,30.954128
Lema,2000-01-01T08:29:02Z,6,13,-24.215092,30.954208
Lema,2000-01-01T08:29:06Z,6,348.2,-24.214895,30.954214
Lema,2000-01-01T08:29:10Z,7,347,-24.214828,30.954165
Lema,2000-01-01T08:29:13Z,6,349,-24.214697,30.954117
Lema,2000-01-01T08:29:17Z,5,340,-24.214493,30.954033
Lema,2000-01-01T08:29:21Z,4,339,-24.214304,30.953947
Lema,2000-01-01T08:29:25Z,5,334,-24.214092,30.95385
Lema,2000-01-01T08:29:28Z,6,338.5,-24.213932,30.953768
Lema,2000-01-01T08:29:32Z,8,357.9,-24.213678,30.953709
Lema,2000-01-01T08:29:36Z,8,5,-24.213375,30.953762
Lema,2000-01-01T08:29:39Z,8,5,-24.21324,30.953793
Lema,2000-01-01T08:29:43Z,8,358.1,-24.213049,30.953833
Lema,2000-01-01T08:29:46Z,11,351.1,-24.21288,30.95382
Lema,2000-01-01T08:29:50Z,8,354,-24.212646,30.953793
Lema,2000-01-01T08:29:54Z,8,352,-24.212376,30.953756
Lema,2000-01-01T08:29:58Z,8,360,-24.212091,30.953718
Lema,2000-01-01T08:30:01Z,8,5.1,-24.211882,30.953735000000002
Lema,2000-01-01T08:30:05Z,8,357,-24.211617,30.953749
Lema,2000-01-01T08:30:08Z,8,2.9,-24.2114,30.953749
Lema,2000-01-01T08:30:12Z,8,11.1,-24.211107,30.953804
Lema,2000-01-01T08:30:15Z,8,9,-24.210909,30.953846
Lema,2000-01-01T08:30:19Z,8,8,-24.21066,30.953896
Lema,2000-01-01T08:30:23Z,8,5.1,-24.210398,30.953938
Lema,2000-01-01T08:30:26Z,8,355,-24.210163,30.953934
Lema,2000-01-01T08:30:30Z,9,7.8,-24.209864,30.953936
Lema,2000-01-01T08:30:33Z,12,19.9,-24.20966,30.953997
Lema,2000-01-01T08:30:36Z,12,18,-24.209486,30.954077
Lema,2000-01-01T08:30:40Z,9,17,-24.20924,30.954176
Lema,2000-01-01T08:30:43Z,8,8.1,-24.209068,30.95422
Lema,2000-01-01T08:30:47Z,8,354,-24.20886,30.954206
