device_id,timestamp,accuracy,heading_d,latitude,longitude
Tango,1999-12-31T20:19:20Z,5,283.9,-24.22192,30.898315
Tango,1999-12-31T20:19:24Z,5,327,-24.221815,30.898182
Tango,1999-12-31T20:19:28Z,5,337,-24.221603000000002,30.89809
Tango,1999-12-31T20:19:32Z,6,339,-24.221392,30.898
Tango,1999-12-31T20:19:35Z,6,340,-24.22123,30.897938
Tango,1999-12-31T20:19:38Z,4,338,-24.221067,30.897877
Tango,1999-12-31T20:19:42Z,5,338,-24.220877,30.897793
Tango,1999-12-31T20:19:45Z,4,343,-24.220728,30.897732
Tango,1999-12-31T20:19:49Z,4,344,-24.22053,30.89768
Tango,1999-12-31T20:19:53Z,4,336,-24.220366,30.897615
Tango,1999-12-31T20:19:57Z,4,345,-24.220148,30.897545
Tango,1999-12-31T20:20:01Z,4,12.9,-24.219929,30.897528
Tango,1999-12-31T20:20:04Z,4,29,-24.2198,30.897602
Tango,1999-12-31T20:20:08Z,4,26,-24.219622,30.897696
Tango,1999-12-31T20:20:12Z,5,5.4,-24.219473,30.897743
Tango,1999-12-31T20:20:15Z,5,334,-24.219357,30.897709
Tango,1999-12-31T20:20:19Z,5,338,-24.2192,30.897633
Tango,1999-12-31T20:20:22Z,5,334.6,-24.219086,30.89757
Tango,1999-12-31T20:20:25Z,5,342,-24.218937,30.897495
Tango,1999-12-31T20:20:29Z,4,337,-24.21875,30.897415
Tango,1999-12-31T20:20:32Z,5,343,-24.218609,30.897366
Tango,1999-12-31T20:20:36Z,4,338,-24.218418,30.897297
Tango,1999-12-31T20:20:40Z,6,342.9,-24.218271,30.897224
Tango,1999-12-31T20:20:43Z,5,346,-24.218107,30.897192
Tango,1999-12-31T20:20:47Z,4,339,-24.2179,30.897102
Tango,1999-12-31T20:20:51Z,4,348,-24.217686,30.897043
Tango,1999-12-31T20:20:54Z,4,344,-24.217524,30.897003
Tango,1999-12-31T20:20:57Z,4,338,-24.217373,30.896946
Tango,1999-12-31T20:21:00Z,4,341,-24.217228,30.896875
Tango,1999-12-31T20:21:03Z,5,332,-24.217136,30.89684
Tango,1999-12-31T20:21:07Z,4,299,-24.217068,30.896736
Tango,1999-12-31T20:21:11Z,5,322,-24.216948,30.896568
Tango,1999-12-31T20:21:14Z,4,336,-24.2168,30.89648
Tango,1999-12-31T20:21:17Z,4,17.7,-24.216652,30.896473
Tango,1999-12-31T20:21:21Z,4,39,-24.216516,30.896584
Tango,1999-12-31T20:21:24Z,4,22.7,-24.216436,30.896654
Tango,1999-12-31T20:21:28Z,3,331.5,-24.216309,30.896645
Tango,1999-12-31T20:21:31Z,4,326,-24.216192,30.896564
Tango,1999-12-31T20:21:34Z,5,325,-24.216051,30.896458
Tango,1999-12-31T20:21:38Z,4,331,-24.215878,30.896353
Tango,1999-12-31T20:21:41Z,4,327.3,-24.215784,30.896294
Tango,1999-12-31T20:21:45Z,5,289.6,-24.215656,30.89614
Tango,1999-12-31T20:21:48Z,4,281,-24.215631,30.895971
Tango,1999-12-31T20:21:51Z,4,299,-24.215591,30.89582
Tango,1999-12-31T20:21:55Z,4,330.5,-24.215471,30.895678
Tango,1999-12-31T20:21:59Z,4,345.7,-24.215342,30.895647
Tango,1999-12-31T20:22:03Z,4,342,-24.215143,30.895584
Tango,1999-12-31T20:22:07Z,4,336.5,-24.21497,30.895546
Tango,1999-12-31T20:22:10Z,4,344,-24.21482,30.895489
Tango,1999-12-31T20:22:13Z,6,342,-24.214668,30.895435
Tango,1999-12-31T20:22:17Z,4,340,-24.21448,30.895369
Tango,1999-12-31T20:22:20Z,4,339,-24.214289,30.895288
Tango,1999-12-31T20:22:24Z,4,336,-24.214098,30.895208
Tango,1999-12-31T20:22:28Z,5,339,-24.213907,30.895124
Tango,1999-12-31T20:22:32Z,5,339,-24.213713,30.895046
Tango,1999-12-31T20:22:36Z,5,341,-24.213512,30.894972
Tango,1999-12-31T20:22:40Z,4,340,-24.213316,30.894909
Tango,1999-12-31T20:22:44Z,4,339.6,-24.213196,30.89485
Tango,1999-12-31T20:22:47Z,4,336,-24.21307,30.894789
Tango,1999-12-31T20:22:50Z,4,340.1,-24.213,30.894762
Tango,1999-12-31T20:22:53Z,5,342.8,-24.212893,30.894724
Tango,1999-12-31T20:22:56Z,5,341,-24.212795,30.89469
Tango,1999-12-31T20:23:00Z,4,337,-24.212654,30.89463
Tango,1999-12-31T20:23:04Z,4,337,-24.212511,30.894566
Tango,1999-12-31T20:23:07Z,4,339,-24.21241,30.894524
Tango,1999-12-31T20:23:11Z,5,333.4,-24.212284,30.894464
Tango,1999-12-31T20:23:14Z,4,339,-24.212198,30.894426
Tango,1999-12-31T20:23:18Z,4,337.6,-24.21206,30.894352
Tango,1999-12-31T20:23:21Z,4,335,-24.211937,30.894304
Tango,1999-12-31T20:23:25Z,4,349.1,-24.211802,30.894243
Tango,1999-12-31T20:23:28Z,4,346,-24.211683,30.894226
Tango,1999-12-31T20:23:32Z,4,335,-24.211514,30.894156
Tango,1999-12-31T20:23:36Z,4,338,-24.211351,30.89408
Tango,1999-12-31T20:23:39Z,4,347,-24.2112,30.89403
Tango,1999-12-31T20:23:43Z,5,354,-24.211,30.894
Tango,1999-12-31T20:23:46Z,5,350.1,-24.210855,30.893988
Tango,1999-12-31T20:23:50Z,5,308,-24.21072,30.893875
Tango,1999-12-31T20:23:53Z,4,329,-24.210615,30.893757
Tango,1999-12-31T20:23:56Z,4,341,-24.210464,30.893694
Tango,1999-12-31T20:23:59Z,4,341,-24.210327,30.893648
Tango,1999-12-31T20:24:03Z,4,338,-24.210196,30.893597
Tango,1999-12-31T20:24:06Z,3,338.9,-24.21008,30.893553
Tango,1999-12-31T20:24:09Z,4,336.8,-24.209995,30.893517
Tango,1999-12-31T20:24:12Z,4,338,-24.209944,30.89349
Tango,1999-12-31T20:24:16Z,5,342,-24.209867,30.89346
Tango,1999-12-31T20:24:19Z,4,338,-24.209808,30.893438
Tango,1999-12-31T20:24:34Z,4,338,-24.209778,30.893429
Tango,1999-12-31T20:24:37Z,4,338.2,-24.209724,30.893404
Tango,1999-12-31T20:24:40Z,3,337.6,-24.209652,30.893375
Tango,1999-12-31T20:24:44Z,3,339,-24.209543,30.893332
Tango,1999-12-31T20:24:47Z,4,339,-24.209455,30.893295
Tango,1999-12-31T20:24:51Z,4,336,-24.209335,30.893244
Tango,1999-12-31T20:24:54Z,4,336.2,-24.209232,30.893192
Tango,1999-12-31T20:24:57Z,4,336,-24.209108,30.893135
Tango,1999-12-31T20:25:00Z,4,335.6,-24.208994,30.893078
Tango,1999-12-31T20:25:04Z,4,341.8,-24.208868,30.893032
Tango,1999-12-31T20:25:08Z,4,332,-24.208746,30.89298
Tango,1999-12-31T20:25:11Z,4,334.6,-24.208656,30.892927
Tango,1999-12-31T20:25:15Z,4,10.6,-24.208488,30.8929
Tango,1999-12-31T20:25:18Z,4,24.1,-24.208364,30.89295
