X,Y,Timestamp,Distance (,Seconds Si,Accuracy (,Altitude (,DeviceId,Heading (D,Latitude,Longitude,Speed (km/,Cumulative
30.945623,-24.183727,2021/04/28 10:06:01.000,0.013217120917749,"4","1",419.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,240.000000000000000,-24.183727000000001,30.945623000000001,10.440000000000000,69.890000000000001
30.94554,-24.183771,2021/04/28 10:06:04.000,0.009740618605092,"3","2",420.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,240.000000000000000,-24.183771000000000,30.945540000000001,10.800000000000001,69.900000000000006
30.945423,-24.183842,2021/04/28 10:06:08.000,0.014258534667332,"4","2",420.600000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,233.000000000000000,-24.183841999999999,30.945423000000002,11.520000000000000,69.909999999999997
30.945314,-24.183914,2021/04/28 10:06:12.000,0.013655043397073,"4","2",420.699999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,242.900000000000006,-24.183914000000001,30.945314000000000,11.880000000000001,69.920000000000002
30.945175,-24.183945,2021/04/28 10:06:16.000,0.014519396685501,"4","2",420.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,254.000000000000000,-24.183945000000001,30.945174999999999,11.880000000000001,69.939999999999998
30.945057,-24.184008,2021/04/28 10:06:20.000,0.013873069555713,"4","2",421.500000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,238.000000000000000,-24.184007999999999,30.945056999999998,12.240000000000000,69.950000000000003
30.944963,-24.184055,2021/04/28 10:06:23.000,0.010876700735230,"3","1",421.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,239.000000000000000,-24.184055000000001,30.944963000000001,12.240000000000000,69.959999999999994
30.944847,-24.184122,2021/04/28 10:06:27.000,0.013931148865754,"4","1",421.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,231.000000000000000,-24.184121999999999,30.944846999999999,12.600000000000000,69.980000000000004
30.944769,-24.184193,2021/04/28 10:06:30.000,0.011180629638958,"3","1",422.100000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,227.000000000000000,-24.184193000000000,30.944769000000001,12.960000000000001,69.989999999999995
30.944654,-24.184254,2021/04/28 10:06:34.000,0.013498020760044,"4","2",422.000000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,250.800000000000011,-24.184253999999999,30.944654000000000,12.960000000000001,70.000000000000000
30.944525,-24.184303,2021/04/28 10:06:38.000,0.014178689737554,"4","2",422.199999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,233.099999999999994,-24.184303000000000,30.944524999999999,12.600000000000000,70.019999999999996
30.944475,-24.184353,2021/04/28 10:06:41.000,0.007527900841288,"3","2",421.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,223.699999999999989,-24.184353000000002,30.944475000000001,11.520000000000000,70.019999999999996
30.94445,-24.184368,2021/04/28 10:06:48.000,0.003036196497285,"7","2",422.199999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,245.000000000000000,-24.184367999999999,30.944450000000000,3.960000000000000,70.030000000000001
30.944412,-24.184374,2021/04/28 10:06:51.000,0.003913092099251,"3","2",421.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,265.699999999999989,-24.184373999999998,30.944412000000000,5.040000000000000,70.030000000000001
30.944365,-24.18436,2021/04/28 10:06:54.000,0.005016770186278,"3","2",421.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,304.899999999999977,-24.184360000000002,30.944365000000001,5.760000000000000,70.040000000000006
30.944298,-24.184307,2021/04/28 10:06:58.000,0.008998349166961,"4","3",422.199999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,310.000000000000000,-24.184307000000000,30.944298000000000,6.480000000000000,70.040000000000006
30.944237,-24.184282,2021/04/28 10:07:01.000,0.006785473180083,"3","3",422.699999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,275.199999999999989,-24.184282000000000,30.944237000000001,6.840000000000000,70.049999999999997
30.94412,-24.18426,2021/04/28 10:07:05.000,0.012121272012718,"4","2",422.300000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,298.000000000000000,-24.184259999999998,30.944120000000002,8.279999999999999,70.060000000000002
30.94398,-24.184198,2021/04/28 10:07:09.000,0.015790919191274,"4","3",423.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,285.199999999999989,-24.184197999999999,30.943980000000000,10.800000000000001,70.079999999999998
30.943848,-24.184193,2021/04/28 10:07:12.000,0.013405257060134,"3","2",424.199999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,257.300000000000011,-24.184193000000000,30.943847999999999,12.240000000000000,70.090000000000003
30.94371,-24.18422,2021/04/28 10:07:15.000,0.014320956562451,"3","2",423.899999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,261.800000000000011,-24.184220000000000,30.943709999999999,13.320000000000000,70.109999999999999
30.94352,-24.184242,2021/04/28 10:07:19.000,0.019433509116918,"4","3",425.300000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,260.000000000000000,-24.184242000000001,30.943519999999999,14.400000000000000,70.129999999999995
30.943382,-24.18428,2021/04/28 10:07:23.000,0.014626539698403,"4","3",424.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,226.099999999999994,-24.184280000000001,30.943382000000000,14.039999999999999,70.140000000000001
30.94332,-24.18436,2021/04/28 10:07:26.000,0.010897602152228,"3","3",423.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,213.000000000000000,-24.184360000000002,30.943320000000000,14.039999999999999,70.150000000000006
30.943253,-24.18448,2021/04/28 10:07:30.000,0.014979150698792,"4","2",423.600000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,223.900000000000006,-24.184480000000001,30.943252999999999,13.680000000000000,70.170000000000002
30.94315,-24.1845,2021/04/28 10:07:33.000,0.010685270440111,"3","2",423.699999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,267.000000000000000,-24.184500000000000,30.943149999999999,13.320000000000000,70.180000000000007
30.943012,-24.184504,2021/04/28 10:07:37.000,0.014009553831599,"4","2",424.199999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,250.099999999999994,-24.184504000000000,30.943012000000000,12.960000000000001,70.189999999999998
30.942934,-24.184546,2021/04/28 10:07:40.000,0.009190365926456,"3","2",424.100000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,241.000000000000000,-24.184546000000001,30.942934000000001,12.960000000000001,70.200000000000003
30.94278,-24.1846,2021/04/28 10:07:44.000,0.016740592834196,"4","2",423.699999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,259.000000000000000,-24.184600000000000,30.942779999999999,13.320000000000000,70.219999999999999
30.94262,-24.184628,2021/04/28 10:07:48.000,0.016530787212609,"4","2",423.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,257.000000000000000,-24.184628000000000,30.942620000000002,14.039999999999999,70.230000000000004
30.942509,-24.184652,2021/04/28 10:07:51.000,0.011574898851905,"3","2",424.800000000000011,bb0100ed-a859-eb11-8fed-0003ff1cb017,257.000000000000000,-24.184652000000000,30.942509000000001,14.039999999999999,70.250000000000000
30.942354,-24.184671,2021/04/28 10:07:55.000,0.015868767826639,"4","2",424.600000000000023,bb0100ed-a859-eb11-8fed-0003ff1cb017,262.000000000000000,-24.184671000000002,30.942354000000002,14.039999999999999,70.260000000000005
30.942251,-24.184671,2021/04/28 10:07:58.000,0.010451117841938,"3","3",425.399999999999977,bb0100ed-a859-eb11-8fed-0003ff1cb017,287.000000000000000,-24.184671000000002,30.942250999999999,13.680000000000000,70.269999999999996
30.942171,-24.184652,2021/04/28 10:08:01.000,0.008387972038161,"3","2",426.199999999999989,bb0100ed-a859-eb11-8fed-0003ff1cb017,271.100000000000023,-24.184652000000000,30.942170999999998,12.960000000000001,70.280000000000001
30.942043,-24.184671,2021/04/28 10:08:05.000,0.013158617463738,"4","3",426.000000000000000,bb0100ed-a859-eb11-8fed-0003ff1cb017,251.000000000000000,-24.184671000000002,30.942043000000002,12.600000000000000,70.290000000000006
